"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"stress2","GPC003050","PPC21",60.3333333333333,87.3333333333333,24.3333333333333,51.3333333333333,25.55,9.33333333333333,1.3,7.42,8.13333333333333,1.55333333333333,12547.6666666667,3.11666666666667,2
"stress2","GPC003090","PPC22",66,94,30,58,35.44,10.8666666666667,1.3,8.38666666666667,7.46666666666667,1.96333333333333,15889,7.85666666666667,2
"stress2","GPC003100","PPC23",69,95,33,59,34.2033333333333,9.73333333333333,1.36666666666667,7.15,7.06666666666667,2.04,16432.6666666667,7.88333333333333,2
"stress2","GPC003120","PPC24",72,115,36,79,24.1666666666667,9.23333333333333,1.9,4.87,10.3333333333333,1.86666666666667,34029,12.1133333333333,2
"stress2","GPC003150","PPC25",66,95,30,59,21.4333333333333,11.3433333333333,1.91,5.95333333333333,13.1766666666667,2.09333333333333,31163.6666666667,10.6566666666667,2
"stress2","GPC003160","PPC26",69,86.6666666666667,33,50.6666666666667,67.79,10.8,3.2,3.38333333333333,16.8,4.34,24863,4.8,2
"stress2","GPC003170","PPC27",65.3333333333333,95,29.3333333333333,59,26.2733333333333,10.7,2.7,3.96,20.7333333333333,4.14666666666667,17418,10.0933333333333,2
"stress2","GPC003190","PPC28",69,94,33,58,25.3666666666667,11.7,2.96666666666667,3.93666666666667,24.7333333333333,4.72333333333333,32917.6666666667,8.42,2
"stress2","GPC003220","PPC29",73,109,37,73,11.2966666666667,7.73333333333333,4.7,1.65,48,4.05,23363.6666666667,3.58333333333333,2
"stress2","GPC003240","PPC30",72,113,36,77,13.76,6.44333333333333,4.06666666666667,1.59,28.1333333333333,2.83,36063.3333333333,13.2733333333333,2
"stress2","GPC003260","PPC31",66,100.333333333333,30,64.3333333333333,12.3066666666667,6.6,4.6,1.44,35.2,3.12,26695.6666666667,4.48,2
"stress2","GPC003280","PPC32",68.6666666666667,100.333333333333,32.6666666666667,64.3333333333333,3.96333333333333,4.53333333333333,3.66666666666667,1.23,15.4666666666667,0.423333333333333,14013,6.83,2
"stress2","GPC003300","PPC33",76,115.333333333333,40,79.3333333333333,3.80666666666667,4.07666666666667,8.58666666666667,0.47,54.3833333333333,1.49,26285.1451071521,21.2207784663052,2
"stress2","GPC003310","PPC34",70.3333333333333,99.6666666666667,34.3333333333333,63.6666666666667,14.42,7.33333333333333,3.23333333333333,2.25333333333333,18,2.21666666666667,43344.6666666667,9.35333333333333,2
"stress2","GPC003320","PPC35",64.6666666666667,90.6666666666667,28.6666666666667,54.6666666666667,13.5666666666667,3.91666666666667,4.26666666666667,0.923333333333333,20.3333333333333,2.18333333333333,31631.3333333333,4.95,2
